full_name,first_name,last_name,country,dob,id,club_avg,nt_avg,player_avg,years_active,score,category,,,
Raul Meireles,Raul,Meireles,Portugal,17-03-83,114800,0.09,0.13,0.11,12,0.04,Neutral,,,
Hélder Postiga,Hélder,Postiga,Portugal,02-08-82,115228,0.17,0.46,0.32,14,0.29,National Pride,,,
Simão Sabrosa,Simão,Sabrosa,Portugal,31-10-79,116873,0.23,0.29,0.26,12,0.06,Neutral,,,
Claudiu Keserü,Claudiu,Keserü,Romania,02-12-86,1074,0.36,0.39,0.38,13,0.03,Neutral,,,
Gheorghe-Teodor Grozav,Gheorghe-Teodor,Grozav,Romania,29-09-90,28539,0.2,0.18,0.19,12,-0.02,Neutral,,,
George Puscas,George,Puscas,Romania,08-04-96,31562,0.21,0.19,0.2,8,-0.02,Neutral,,,
Nicolae Stanciu,Nicolae,Stanciu,Romania,07-05-93,44439,0.18,0.3,0.24,11,0.12,Top Scorer,,,
Gabriel Torje,Gabriel,Torje,Romania,22-11-89,50095,0.12,0.15,0.14,11,0.03,Neutral,,,
Alexandru Chipciu,Alexandru,Chipciu,Romania,18-05-89,55967,0.16,0.16,0.16,11,0,Neutral,,,
Bogdan Stancu,Bogdan,Stancu,Romania,28-06-87,61828,0.35,0.4,0.38,12,0.05,Neutral,,,
Cristian Tanase,Cristian,Tanase,Romania,18-02-87,62256,0.09,0.14,0.12,12,0.05,Neutral,,,
Adrian Mutu,Adrian,Mutu,Romania,08-01-79,113670,0.17,0.25,0.21,2,0.08,Neutral,,,
Ciprian Marica,Ciprian,Marica,Romania,02-10-85,114998,0.21,0.42,0.32,12,0.21,National Pride,,,
Aleksei Miranchuk,Aleksei,Miranchuk,Russia,17-10-95,484,0.17,0.26,0.22,8,0.09,Neutral,,,
Fyodor Smolov,Fyodor,Smolov,Russia,09-02-90,493,0.21,0.47,0.34,14,0.26,National Pride,,,
Alan Dzagoev,Alan,Dzagoev,Russia,17-06-90,835,0.2,0.05,0.13,13,-0.15,Underscorer,,,
Denis Cheryshev,Denis,Cheryshev,Russia,26-12-90,923,0.14,0.31,0.23,10,0.17,Top Scorer,,,
Artyom Dzyuba,Artyom,Dzyuba,Russia,22-08-88,1223,0.32,0.26,0.29,15,-0.06,Neutral,,,
Aleksander Kokorin,Aleksander,Kokorin,Russia,19-03-91,1224,0.31,0.21,0.26,13,-0.1,Neutral,,,
Pavel Pogrebnyak,Pavel,Pogrebnyak,Russia,08-11-83,53645,0.3,0.29,0.3,16,-0.01,Neutral,,,
Aleksandr Samedov,Aleksandr,Samedov,Russia,19-07-84,53687,0.16,0.15,0.16,14,-0.01,Neutral,,,
Sergei Ignashevich,Sergei,Ignashevich,Russia,14-07-79,104575,0.09,0.04,0.07,15,-0.05,Neutral,,,
Aleksandr Kerzhakov,Aleksandr,Kerzhakov,Russia,27-11-82,104610,0.33,0.25,0.29,14,-0.08,Neutral,,,
Roman Pavlyuchenko,Roman,Pavlyuchenko,Russia,15-12-81,104620,0.33,0.42,0.38,14,0.09,Neutral,,,
Diniyar Bilyaletdinov,Diniyar,Bilyaletdinov,Russia,27-02-85,104625,0.22,0.1,0.16,13,-0.12,Underscorer,,,
Roman Shirokov,Roman,Shirokov,Russia,06-07-81,105797,0.19,0.26,0.23,11,0.07,Neutral,,,
Andrei Arshavin,Andrei,Arshavin,Russia,29-05-81,105837,0.24,0.2,0.22,15,-0.04,Neutral,,,
Dmitri Sychev,Dmitri,Sychev,Russia,26-10-83,118072,0.24,0.24,0.24,11,0,Neutral,,,
James Forrest,James,Forrest,Scotland,07-07-91,1127,0.23,0.17,0.2,11,-0.06,Neutral,,,
Robert Snodgrass,Robert,Snodgrass,Scotland,07-09-87,18828,0.17,0.16,0.17,12,-0.01,Neutral,,,
John McGinn,John,McGinn,Scotland,18-10-94,19191,0.1,0.16,0.13,8,0.06,Neutral,,,
Steven Fletcher,Steven,Fletcher,Scotland,26-03-87,19398,0.27,0.14,0.21,15,-0.13,Underscorer,,,
Kris Boyd,Kris,Boyd,Scotland,18-08-83,44792,0.46,0.1,0.28,15,-0.36,Extreme Underscorer,,,
Steven Naismith,Steven,Naismith,Scotland,14-09-86,44881,0.27,0.22,0.25,15,-0.05,Neutral,,,
Kenny Miller,Kenny,Miller,Scotland,23-12-79,45047,0.31,0.22,0.27,14,-0.09,Neutral,,,
Shaun Maloney,Shaun,Maloney,Scotland,24-01-83,90510,0.12,0.06,0.09,12,-0.06,Neutral,,,
James McFadden,James,McFadden,Scotland,14-04-83,97943,0.12,0.21,0.17,13,0.09,Neutral,,,
Dusan Tadic,Dusan,Tadic,Serbia,20-11-88,554,0.26,0.18,0.22,14,-0.08,Neutral,,,
Aleksandar Kolarov,Aleksandar,Kolarov,Serbia,10-11-85,771,0.1,0.06,0.08,16,-0.04,Neutral,,,
Branislav Ivanovic,Branislav,Ivanovic,Serbia,22-02-84,1200,0.09,0.11,0.1,16,0.02,Neutral,,,
Sergej Milinkovic-Savic,Sergej,Milinkovic-Savic,Serbia,27-02-95,1856,0.2,0.08,0.14,7,-0.12,Underscorer,,,
Adem Ljajic,Adem,Ljajic,Serbia,29-09-91,2002,0.21,0.22,0.22,12,0.01,Neutral,,,
Aleksandar Mitrovic,Aleksandar,Mitrovic,Serbia,16-09-94,2825,0.39,0.56,0.48,9,0.17,Top Scorer,,,
Lazar Markovic,Lazar,Markovic,Serbia,02-03-94,19028,0.14,0.13,0.14,10,-0.01,Neutral,,,
Filip Djuricic,Filip,Djuricic,Serbia,30-01-92,30536,0.1,0.09,0.1,11,-0.01,Neutral,,,
Filip Djordjevic,Filip,Djordjevic,Serbia,28-09-87,30762,0.24,0.31,0.28,13,0.07,Neutral,,,
Zoran Tosic,Zoran,Tosic,Serbia,28-04-87,45838,0.22,0.15,0.19,14,-0.07,Neutral,,,
Danko Lazovic,Danko,Lazovic,Serbia,17-05-83,89024,0.33,0.28,0.31,13,-0.05,Neutral,,,
Nikola Žigic,Nikola,Žigic,Serbia,25-09-80,115957,0.29,0.31,0.3,12,0.02,Neutral,,,
Róbert Mak,Róbert,Mak,Slovakia,08-03-91,1213,0.23,0.25,0.24,10,0.02,Neutral,,,
Miroslav Stoch,Miroslav,Stoch,Slovakia,19-10-89,1244,0.12,0.05,0.09,15,-0.07,Neutral,,,
Martin Skrtel,Martin,Skrtel,Slovakia,15-12-84,1350,0.05,0.07,0.06,17,0.02,Neutral,,,
Marek Hamsík,Marek,Hamsík,Slovakia,27-07-87,12994,0.2,0.16,0.18,16,-0.04,Neutral,,,
Michal Duris,Michal,Duris,Slovakia,01-06-88,15414,0.29,0.12,0.21,11,-0.17,Underscorer,,,
Adam Nemec,Adam,Nemec,Slovakia,02-09-85,15447,0.23,0.15,0.19,16,-0.08,Neutral,,,
Ondrej Duda,Ondrej,Duda,Slovakia,05-12-94,25349,0.12,0.1,0.11,8,-0.02,Neutral,,,
Juraj Kucka,Juraj,Kucka,Slovakia,26-02-87,31023,0.13,0.13,0.13,14,0,Neutral,,,
Vladimír Weiss,Vladimír,Weiss,Slovakia,30-11-89,42316,0.28,0.06,0.17,12,-0.22,Extreme Underscorer,,,
Albert Rusnak,Albert,Rusnak,Slovakia,07-07-94,51212,0.2,0.13,0.17,7,-0.07,Neutral,,,
Filip Holosko,Filip,Holosko,Slovakia,17-01-84,66106,0.25,0.12,0.19,15,-0.13,Underscorer,,,
Róbert Vittek,Róbert,Vittek,Slovakia,01-04-82,72041,0.27,0.11,0.19,16,-0.16,Underscorer,,,
Marek Cech,Marek,Cech,Slovakia,26-01-83,114887,0.02,0.06,0.04,11,0.04,Neutral,,,
Martin Jakubko,Martin,Jakubko,Slovakia,26-02-80,117995,0.19,0.3,0.25,11,0.11,Top Scorer,,,
Filip Sebo,Filip,Sebo,Slovakia,25-02-84,210711,0.34,0.33,0.34,9,-0.01,Neutral,,,
Miha Zajc,Miha,Zajc,Slovenia,01-07-94,1369,0.14,0.22,0.18,9,0.08,Neutral,,,
Benjamin Verbic,Benjamin,Verbic,Slovenia,27-11-93,2183,0.25,0.13,0.19,10,-0.12,Underscorer,,,
Zlatko Dedic,Zlatko,Dedic,Slovenia,05-10-84,7740,0.23,0.11,0.17,15,-0.12,Underscorer,,,
Josip Ilicic,Josip,Ilicic,Slovenia,29-01-88,30434,0.29,0.09,0.19,13,-0.2,Underscorer,,,
Valter Birsa,Valter,Birsa,Slovenia,07-08-86,30559,0.15,0.08,0.12,16,-0.07,Neutral,,,
Haris Vuckic,Haris,Vuckic,Slovenia,21-08-92,36845,0.18,0.17,0.18,11,-0.01,Neutral,,,
Tim Matavž,Tim,Matavž,Slovenia,13-01-89,37135,0.34,0.31,0.33,14,-0.03,Neutral,,,
Nejc Pecnik,Nejc,Pecnik,Slovenia,03-01-86,91662,0.15,0.14,0.15,11,-0.01,Neutral,,,
Andraž Kirm,Andraž,Kirm,Slovenia,06-09-84,105757,0.11,0.04,0.08,13,-0.07,Neutral,,,
Milivoje Novakovic,Milivoje,Novakovic,Slovenia,18-05-79,115030,0.38,0.41,0.4,12,0.03,Neutral,,,
Paco Alcácer,Paco,Alcácer,Spain,30-08-93,21,0.33,0.79,0.56,10,0.46,National Pride,,,
Diego Costa,Diego,Costa,Spain,07-10-88,54,0.35,0.18,0.27,14,-0.17,Underscorer,,,
Álvaro Morata,Álvaro,Morata,Spain,23-10-92,59,0.37,0.36,0.37,10,-0.01,Neutral,,,
Cesc Fàbregas,Cesc,Fàbregas,Spain,04-05-87,108,0.18,0.19,0.19,16,0.01,Neutral,,,
David Silva,David,Silva,Spain,08-01-86,634,0.18,0.29,0.24,15,0.11,Top Scorer,,,
Sergio Ramos,Sergio,Ramos,Spain,30-03-86,738,0.13,0.16,0.15,17,0.03,Neutral,,,
Isco Alarcón,Isco,Alarcón,Spain,21-04-92,745,0.16,0.14,0.15,11,-0.02,Neutral,,,
Santi Cazorla,Santi,Cazorla,Spain,13-12-84,1695,0.15,0.2,0.18,16,0.05,Neutral,,,
Pedro Rodríguez,Pedro,Rodríguez,Spain,28-07-87,2299,0.23,0.21,0.22,13,-0.02,Neutral,,,
Andrés Iniesta,Andrés,Iniesta,Spain,11-05-84,33243,0.11,0.1,0.11,17,-0.01,Neutral,,,
David Villa,David,Villa,Spain,03-12-81,33257,0.46,0.44,0.45,14,-0.02,Neutral,,,
Fernando Torres,Fernando,Torres,Spain,20-03-84,33413,0.35,0.33,0.34,16,-0.02,Neutral,,,
Xabi Alonso,Xabi,Alonso,Spain,25-11-81,90657,0.06,0.11,0.09,14,0.05,Neutral,,,
Mikael Lustig,Mikael,Lustig,Sweden,13-12-86,1113,0.1,0.04,0.07,16,-0.06,Neutral,,,
Emil Forsberg,Emil,Forsberg,Sweden,23-10-91,1152,0.24,0.07,0.16,12,-0.17,Underscorer,,,
Viktor Claesson,Viktor,Claesson,Sweden,02-01-92,2080,0.24,0.31,0.28,11,0.07,Neutral,,,
Andreas Granqvist,Andreas,Granqvist,Sweden,16-04-85,2853,0.07,0.05,0.06,16,-0.02,Neutral,,,
Marcus Berg,Marcus,Berg,Sweden,17-08-86,2863,0.47,0.28,0.38,16,-0.19,Underscorer,,,
Alexander Isak,Alexander,Isak,Sweden,21-09-99,2864,0.39,0.29,0.34,6,-0.1,Neutral,,,
Robin Quaison,Robin,Quaison,Sweden,09-10-93,2866,0.15,0.17,0.16,10,0.02,Neutral,,,
Ola Toivonen,Ola,Toivonen,Sweden,03-07-86,6868,0.32,0.16,0.24,16,-0.16,Underscorer,,,
Zlatan Ibrahimovic,Zlatan,Ibrahimovic,Sweden,03-10-81,51070,0.66,0.47,0.57,15,-0.19,Underscorer,,,
Kim Kallstrom,Kim,Kallstrom,Sweden,24-08-82,105161,0.08,0.12,0.1,16,0.04,Neutral,,,
Xherdan Shaqiri,Xherdan,Shaqiri,Switzerland,10-10-91,307,0.18,0.29,0.24,11,0.11,Top Scorer,,,
Eren Derdiyok,Eren,Derdiyok,Switzerland,12-06-88,457,0.28,0.19,0.24,14,-0.09,Neutral,,,
Haris Seferovic,Haris,Seferovic,Switzerland,22-02-92,582,0.18,0.3,0.24,12,0.12,Top Scorer,,,
Mario Gavranovic,Mario,Gavranovic,Switzerland,24-11-89,1326,0.31,0.39,0.35,12,0.08,Neutral,,,
Stephan Lichtsteiner,Stephan,Lichtsteiner,Switzerland,16-01-84,1444,0.04,0.04,0.04,17,0,Neutral,,,
Granit Xhaka,Granit,Xhaka,Switzerland,27-09-92,1464,0.06,0.13,0.1,10,0.07,Neutral,,,
Ricardo Rodríguez,Ricardo,Rodríguez,Switzerland,25-08-92,1631,0.07,0.08,0.08,11,0.01,Neutral,,,
Fabian Schär,Fabian,Schär,Switzerland,20-12-91,2806,0.1,0.11,0.11,11,0.01,Neutral,,,
Admir Mehmedi,Admir,Mehmedi,Switzerland,16-03-91,2808,0.19,0.17,0.18,12,-0.02,Neutral,,,
Josip Drmic,Josip,Drmic,Switzerland,08-08-92,25643,0.2,0.19,0.2,11,-0.01,Neutral,,,
Blerim Dzemaili,Blerim,Dzemaili,Switzerland,12-04-86,30478,0.1,0.23,0.17,15,0.13,Top Scorer,,,
Tranquillo Barnetta,Tranquillo,Barnetta,Switzerland,22-05-85,48486,0.11,0.11,0.11,16,0,Neutral,,,
Johan Vonlanthen,Johan,Vonlanthen,Switzerland,01-02-86,100541,0.16,0.15,0.16,11,-0.01,Neutral,,,
Alexander Frei,Alexander,Frei,Switzerland,15-07-79,117969,0.55,0.25,0.4,11,-0.3,Extreme Underscorer,,,
Marco Streller,Marco,Streller,Switzerland,18-06-81,118101,0.3,0.14,0.22,11,-0.16,Underscorer,,,
Emre Akbaba,Emre,Akbaba,Turkey,04-10-92,443,0.3,0.5,0.4,8,0.2,National Pride,,,
Cengiz Under,Cengiz,Under,Turkey,14-07-97,785,0.2,0.25,0.23,6,0.05,Neutral,,,
Hakan Çalhanoglu,Hakan,Çalhanoglu,Turkey,08-02-94,1640,0.23,0.22,0.23,9,-0.01,Neutral,,,
Mustafa Pektemek,Mustafa,Pektemek,Turkey,11-08-88,2004,0.22,0.05,0.14,14,-0.17,Underscorer,,,
Cenk Tosun,Cenk,Tosun,Turkey,07-06-91,18768,0.33,0.26,0.3,12,-0.07,Neutral,,,
Gökhan Unal,Gökhan,Unal,Turkey,09-03-94,47443,0.08,0.02,0.05,11,-0.06,Neutral,,,
Arda Turan,Arda,Turan,Turkey,30-01-87,49859,0.16,0.1,0.13,16,-0.06,Neutral,,,
Ozan Tufan,Ozan,Tufan,Turkey,23-03-95,49942,0.1,0.1,0.1,8,0,Neutral,,,
Gökdeniz Karadeniz,Gökdeniz,Karadeniz,Turkey,24-04-91,62733,0.3,0,0.15,13,-0.3,Extreme Underscorer,,,
Yevhen Konoplyanka,Yevhen,Konoplyanka,Ukraine,29-09-89,413,0.18,0.28,0.23,12,0.1,Top Scorer,,,
Oleksandr Zinchenko,Oleksandr,Zinchenko,Ukraine,15-12-96,641,0.02,0.14,0.08,6,0.12,Top Scorer,,,
Yaroslav Rakitskiy,Yaroslav,Rakitskiy,Ukraine,03-08-89,1204,0.05,0.07,0.06,11,0.02,Neutral,,,
Viktor Tsygankov,Viktor,Tsygankov,Ukraine,15-11-97,2182,0.3,0.1,0.2,5,-0.2,Underscorer,,,
Roman Yaremchuk,Roman,Yaremchuk,Ukraine,27-11-95,8493,0.24,0.25,0.25,7,0.01,Neutral,,,
Andriy Yarmolenko,Andriy,Yarmolenko,Ukraine,23-10-89,18834,0.33,0.44,0.39,12,0.11,Top Scorer,,,
Roman Zozulya,Roman,Zozulya,Ukraine,17-11-89,46726,0.19,0.18,0.19,12,-0.01,Neutral,,,
Artem Kravets,Artem,Kravets,Ukraine,03-06-89,50131,0.36,0.18,0.27,13,-0.18,Underscorer,,,
Andriy Shevchenko,Andriy,Shevchenko,Ukraine,29-09-76,118048,0.31,0.29,0.3,15,-0.02,Neutral,,,
Gareth Bale,Gareth,Bale,Wales,16-07-89,758,0.29,0.34,0.32,15,0.05,Neutral,,,
Aaron Ramsey,Aaron,Ramsey,Wales,26-12-90,1459,0.15,0.24,0.2,14,0.09,Neutral,,,
Hal Robson-Kanu,Hal,Robson-Kanu,Wales,21-05-89,19168,0.15,0.05,0.1,13,-0.1,Neutral,,,
Sam Vokes,Sam,Vokes,Wales,21-10-89,19513,0.21,0.26,0.24,14,0.05,Neutral,,,
Kieffer Moore,Kieffer,Moore,Wales,08-08-92,19804,0.22,0.2,0.21,7,-0.02,Neutral,,,
Joe Ledley,Joe,Ledley,Wales,23-01-87,81774,0.11,0.11,0.11,15,0,Neutral,,,
Craig Bellamy,Craig,Bellamy,Wales,13-07-79,114773,0.24,0.16,0.2,12,-0.08,Neutral,,,
Ryan Giggs,Ryan,Giggs,Wales,29-11-73,114774,0.16,0.2,0.18,14,0.04,Neutral,,,
Robert Earnshaw,Robert,Earnshaw,Wales,06-04-81,163805,0.32,0.17,0.25,12,-0.15,Underscorer,,,
Freddy Eastwood,Freddy,Eastwood,Wales,29-10-83,230998,0.19,0.17,0.18,10,-0.02,Neutral,,,
